stop_id,stop_name,stop_lat,stop_lon,stop_desc
409,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.543802533438907,-58.7862768088116,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
410,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.54287624923896,-58.78663396171255,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
411,102-A 102-C,-27.482367709342057,-58.79475678033928,102-A 102-C
412,102-A 102-C 102-B 104-C 104-C 108-A-B,-27.474335341459607,-58.83874072659765,102-A 102-C 102-B 104-C 104-C 108-A-B
413,102-A 102-C 102-B 104-A 104-C 104-C 108-A-B,-27.47093355888876,-58.838388350998926,102-A 102-C 102-B 104-A 104-C 104-C 108-A-B
414,102-A 102-B 106-A 106-B 106-C 108-A-B,-27.465046003547183,-58.84148362745229,102-A 102-B 106-A 106-B 106-C 108-A-B
415,102-A 102-B 106-A 106-B 106-C 108-A-B,-27.46629414209573,-58.83917278352152,102-A 102-B 106-A 106-B 106-C 108-A-B
416,102-A 101-B 101-C,-27.48611240844059,-58.78131732050692,102-A 101-B 101-C
417,102-A 106-A,-27.48621894244064,-58.78187907570823,102-A 106-A
418,102-A,-27.487889707240555,-58.781756951407736,102-A
419,102-A,-27.48971612394055,-58.78202793830812,102-A
420,102-A,-27.48357101544152,-58.789737529027214,102-A
421,105-C-250VIV 105-C-PERICHON,-27.45733641284043,-58.76859409438026,105-C-250VIV 105-C-PERICHON
422,105-C-250VIV 105-C-PERICHON,-27.457148993540283,-58.76710714477676,105-C-250VIV 105-C-PERICHON
423,105-B 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA,-27.4674679398486,-58.806078822262094,105-B 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA
424,105-C-250VIV 105-B 105-C-PERICHON 109-A 109-B-YECOHA,-27.46707436386176,-58.808126931712096,105-C-250VIV 105-B 105-C-PERICHON 109-A 109-B-YECOHA
425,105-C-250VIV 105-B 105-C-PERICHON 109-A 109-B-YECOHA 104-C,-27.467243545592808,-58.810849614987696,105-C-250VIV 105-B 105-C-PERICHON 109-A 109-B-YECOHA 104-C
426,105-C-250VIV 105-C-PERICHON,-27.457921804940177,-58.76647665807516,105-C-250VIV 105-C-PERICHON
427,105-C-250VIV 105-C-PERICHON,-27.458146859040383,-58.76842394177975,105-C-250VIV 105-C-PERICHON
428,105-C-250VIV 105-C-PERICHON,-27.469670970145224,-58.82276792730731,105-C-250VIV 105-C-PERICHON
429,105-C-250VIV 105-C-PERICHON,-27.467417069861423,-58.81612782457777,105-C-250VIV 105-C-PERICHON
430,105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA 104-C,-27.46763214968687,-58.8141246042397,105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA 104-C
431,105-C-250VIV 105-B 105-C-PERICHON 109-A 109-B-YECOHA,-27.467416282743,-58.81086330309218,105-C-250VIV 105-B 105-C-PERICHON 109-A 109-B-YECOHA
432,105-C-250VIV 105-C-PERICHON 105-B,-27.467259809844744,-58.80915542644741,105-C-250VIV 105-C-PERICHON 105-B
433,105-C-250VIV 105-B 105-C-PERICHON 109-A 109-B-YECOHA,-27.467323366643825,-58.807210444470655,105-C-250VIV 105-B 105-C-PERICHON 109-A 109-B-YECOHA
434,105-C-250VIV 105-B 105-C-PERICHON 109-A 109-B-YECOHA,-27.468646551436347,-58.80263128515148,105-C-250VIV 105-B 105-C-PERICHON 109-A 109-B-YECOHA
435,105-A 105-B 110-A,-27.444182105442422,-58.783891403018174,105-A 105-B 110-A
436,105-A 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA,-27.46301206493214,-58.77485639254421,105-A 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA
437,105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA,-27.461405626885742,-58.76855900111333,105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA
438,105-C-250VIV 105-C-PERICHON,-27.45956256254025,-58.767627409577685,105-C-250VIV 105-C-PERICHON
439,105-C-250VIV 105-C-PERICHON,-27.458026830240367,-58.76853575638004,105-C-250VIV 105-C-PERICHON
440,105-B,-27.44297393794253,-58.784290130119274,105-B
441,105-B,-27.455592809342285,-58.78675197892356,105-B
442,105-B,-27.45763682024225,-58.78718758642434,105-B
443,105-B,-27.45810176444204,-58.78521054691959,105-B
444,105-B,-27.45928143344188,-58.78404889901669,105-B
445,105-B,-27.46105185904185,-58.78429105221704,105-B
446,105-B,-27.46155368364207,-58.78682305752301,105-B
447,105-B,-27.463421423142115,-58.7880132039256,105-B
448,105-B,-27.465270554742148,-58.78922464042824,105-B
449,105-B,-27.467849498744897,-58.81849231849737,105-B
450,105-B,-27.469342315644855,-58.81872147969776,105-B
451,105-B,-27.44959748544198,-58.7816496630122,105-B
452,105-B,-27.46167966364204,-58.78666790842261,105-B
453,105-B,-27.461099468241883,-58.78486068631838,105-B
454,105-B,-27.459327701541927,-58.78453454641783,105-B
455,105-B,-27.458838785142177,-58.786778549623214,105-B
