gid,tipo_recorrido,cantidad_paradas,linea_ramal,lng,lat
213,IDA,6,102-C 102-B 102-A 106-A 106-B 106-C,-58.820552422701127,-27.477530932144713
214,IDA,6,102-C 102-A 102-B 106-C 106-B 106-A,-58.822615963406044,-27.477262208344932
215,IDA,6,102-C 102-B 102-A 106-A 106-B 106-C,-58.82518853711219,-27.476958867245187
216,IDA,6,102-C 102-A 102-B 106-B 106-C 106-A,-58.827623899118009,-27.47666692554543
217,IDA,3,102-C 102-A 102-B,-58.834132446933552,-27.475858658646075
218,IDA,5,102-C 102-B 102-A 104-C 104-D,-58.836577615739401,-27.475506032046319
219,IDA,1,102-C,-58.718365120456696,-27.490984222034033
221,VUELTA,1,102-C,-58.833878056134544,-27.462232198646547
222,VUELTA,8,102-C 102-A 102-B 108-C 106-A 106-B 106-C 101-B 101-C,-58.832672870154568,-27.466819895616641
223,VUELTA,5,102-C 102-B 106-A 106-B 106-C,-58.830032187523727,-27.476728784045676
224,IDA,1,102-C,-58.718198823456419,-27.490083502734045
225,VUELTA,5,102-C 102-B 106-A 106-B 106-C,-58.827348805017323,-27.477052493145383
226,VUELTA,5,102-C 102-B 106-A 106-B 106-C,-58.824953257111588,-27.477378716845141
227,VUELTA,5,102-C 102-B 106-A 106-B 106-C,-58.822373558805431,-27.4776880090449
228,VUELTA,7,102-C 102-A 102-B 108-C 106-A 106-B 106-C,-58.819552964498691,-27.478041976844604
229,VUELTA,7,102-C 102-B 102-A 108-C 106-A 106-B 106-C,-58.817082901492789,-27.478363087544373
230,VUELTA,5,102-C 102-A 106-C 106-B 106-A,-58.814483924786586,-27.478651341144097
231,VUELTA,5,102-C 102-A 106-A 106-B 106-C,-58.812237407081199,-27.478941857943866
232,VUELTA,5,102-C 102-A 106-A 106-B 106-C,-58.809683524975092,-27.47926833304361
233,VUELTA,4,102-C 102-A 106-B 106-A,-58.807393337569636,-27.479550635543394
234,VUELTA,4,102-C 102-A 106-A 106-B,-58.804299325662221,-27.48002773344308
235,IDA,1,102-C,-58.722400000966481,-27.489539517234501
236,VUELTA,4,102-C 102-A 106-A 106-B,-58.802018106856721,-27.480684958542813
237,VUELTA,4,102-C 102-A 106-B 106-A,-58.800251453152477,-27.481180999542637
238,VUELTA,3,102-C 102-A 106-A,-58.798175926247474,-27.481783071642401
239,VUELTA,3,102-C 102-A 106-A,-58.795208732540317,-27.482661495142096
240,VUELTA,3,102-C 102-A 106-A,-58.792418229333578,-27.483484765641798
241,VUELTA,1,102-C,-58.791087099230396,-27.48377176194165
242,VUELTA,3,102-C 102-A 106-A,-58.787897617522781,-27.484069151941323
243,VUELTA,3,102-C 102-A 106-A,-58.785140809516207,-27.484275849641037
244,VUELTA,1,102-C,-58.779361822502445,-27.484651778040444
245,VUELTA,1,102-C,-58.775170703292396,-27.485295675840018
246,IDA,1,102-C,-58.724485418571412,-27.489722326534711
247,VUELTA,1,102-C,-58.769443265078678,-27.486267725139403
248,VUELTA,1,102-C,-58.765205877668443,-27.487617043838927
249,VUELTA,1,102-C,-58.762473293461859,-27.48847082453862
250,VUELTA,1,102-C,-58.755995591046194,-27.490467310037907
251,VUELTA,1,102-C,-58.752214514437135,-27.491112046037493
252,VUELTA,1,102-C,-58.749428537530456,-27.49156450113718
253,VUELTA,1,102-C,-58.74059417920931,-27.492721622936244
254,VUELTA,1,102-C,-58.737587003802211,-27.492204208035947
255,VUELTA,1,102-C,-58.730138341684771,-27.490426071135271
256,VUELTA,1,102-C,-58.72447007967137,-27.489860460234709
257,IDA,1,102-C,-58.730197266484922,-27.490270083835266
258,VUELTA,1,102-C,-58.721114049463417,-27.489635573834342
259,VUELTA,1,102-C,-58.720508373061861,-27.490495808534263
260,VUELTA,1,102-C,-58.720749101362287,-27.49172057223425
261,VUELTA,1,102-C,-58.720849935662415,-27.492378886934244
262,VUELTA,1,102-C,-58.719653335159549,-27.492676025334109
263,VUELTA,1,102-C,-58.71883635105759,-27.492791025034023
264,VUELTA,1,102-C,-58.718997367457867,-27.493644219033978
265,IDA,1,102-C,-58.738725601504932,-27.492299594136067
266,IDA,1,103-D,-58.763451545352645,-27.580618618135233
267,IDA,1,103-D,-58.76102565494859,-27.566733995535508
268,VUELTA,3,103-D 103-B 103-C-ESPERANZA-PUERTO,-58.809416645170558,-27.51176103214236
269,VUELTA,3,103-D 103-B 103-C-ESPERANZA-PUERTO,-58.807365928765442,-27.513808395842073
270,VUELTA,3,103-D 103-B 103-C-ESPERANZA-PUERTO,-58.80610922996231,-27.51491933324192
271,VUELTA,3,103-D 103-B 103-C-ESPERANZA-PUERTO,-58.799962026046856,-27.52185552574106
272,VUELTA,2,103-D 103-C-ESPERANZA-PUERTO,-58.796554028038315,-27.525381121940612
273,VUELTA,3,103-D 103-C-ESPERANZA-PUERTO 103-C-ESPERANZA-MONTAÃ‘A,-58.793416849230368,-27.529376439840149
274,VUELTA,1,103-D,-58.791517090925645,-27.530967073639903
275,VUELTA,1,103-D,-58.788835887719152,-27.531814400239622
276,VUELTA,1,103-D,-58.785451023711005,-27.53267865823922
277,IDA,1,103-D,-58.758932106943206,-27.569896655235205
278,VUELTA,1,103-D,-58.771426423277696,-27.532018415737866
279,VUELTA,1,103-D,-58.767487264068549,-27.530193004837532
280,VUELTA,1,103-D,-58.762507826856684,-27.530221335737057
281,VUELTA,1,103-D,-58.760423415151472,-27.532285295536756
282,VUELTA,1,103-D,-58.758948954547776,-27.533875510236555
283,VUELTA,1,103-D,-58.755153461238137,-27.538475833936012
284,VUELTA,1,103-D,-58.752370082630776,-27.544474845835481
285,VUELTA,1,103-D,-58.749154784521224,-27.559318609634584
286,VUELTA,1,103-D,-58.744382464109066,-27.565543681533871
287,VUELTA,1,103-D,-58.743236406506128,-27.567064074933718
288,IDA,1,103-D,-58.758959683442782,-27.573753839435049
289,VUELTA,1,103-D,-58.742177604503247,-27.569930099033485
290,VUELTA,1,103-D,-58.74164719770171,-27.572038650633367
291,VUELTA,1,103-D,-58.741181582900303,-27.574347026733239
292,VUELTA,1,103-D,-58.740862064799167,-27.577329475533077
293,VUELTA,1,103-D,-58.740670873598297,-27.580554831832945
294,VUELTA,1,103-D,-58.740783191098309,-27.582460373732872
295,VUELTA,1,103-D,-58.74293985480351,-27.582108250033109
296,VUELTA,1,103-D,-58.745588368509885,-27.581756796833396
297,VUELTA,1,103-D,-58.749482684619217,-27.581377431833801
298,VUELTA,1,103-D,-58.751925255025057,-27.581237286434057
299,IDA,1,103-D,-58.758946523842368,-27.576859418434939
300,VUELTA,1,103-D,-58.752920019227439,-27.581226892834149
301,VUELTA,1,103-D,-58.755467447233492,-27.581373240934408
302,VUELTA,1,103-D,-58.756601937836209,-27.58139930863452
303,IDA,1,103-D,-58.758769790378068,-27.581487673751504
304,VUELTA,1,103-D,-58.75975261144373,-27.581228988334857
305,IDA,1,103-D,-58.758944763642091,-27.578891527034852
